feature,median_liposarcoma,median_lipoma,median_difference,mean_difference,U_statistic,p_value,rank_biserial_corr,n_liposarcoma,n_lipoma,p_value_fdr_bh,significant_fdr_0.05
PREDICT_original_phasef_monogenic_median_WL3_N5,85.92,89.5,-3.5799999999999983,0.46996975196611857,1567.5,0.633404863489405,0.051724137931034475,58,57,0.8508681136247319,False
PREDICT_original_tf_GLCMMS_contrastd1.0A0.0std,4.4770369837396595,3.9112382981570177,0.5657986855826418,0.026427283063185314,1736.0,0.6444456784017326,-0.05021173623714459,58,57,0.8610073697887648,False
PREDICT_original_tf_GLCM_contrastd1.0A0.79,4.47703698373966,3.9112382981570177,0.5657986855826427,0.02642728306318709,1736.0,0.6444456784017326,-0.05021173623714459,58,57,0.8610073697887648,False
PREDICT_original_tf_GLCMMS_ASMd3.0A0.0mean,0.058660769104662294,0.0549323716399673,0.003728397464694992,0.005106572912312174,1732.0,0.6605770475453607,-0.047791893526920814,58,57,0.8778018448513824,False
PREDICT_original_logf_mean_sigma5,-0.0307252001197706,-0.0323546095402279,0.0016294094204572958,-0.0027642805001182463,1574.0,0.6605770475453607,0.047791893526920703,58,57,0.8778018448513824,False
PREDICT_original_tf_GLCM_correlationd1.0A0.0,0.9356027847527957,0.9340949614526912,0.0015078233001044605,-0.011535900357145912,1576.0,0.6687028701671417,0.046581972171808816,58,57,0.8862110618075292,False
PREDICT_original_tf_Gabor_std_F0.2_A1.57,0.02657071646190315,0.0283916389075599,-0.0018209224456567502,-0.002582380304492468,1578.0,0.6768676883030059,0.04537205081669693,58,57,0.8946267301163054,False
PREDICT_original_tf_GLCM_contrastd1.0A0.0,2.7717370928452882,2.6858989548167633,0.08583813802852491,0.05996119618055529,1723.0,0.6974447957613807,-0.042347247428917045,58,57,0.9001054563098448,False
PREDICT_original_tf_GLCMMS_correlationd3.0A0.0mean,0.05903771630890925,0.0519319848404494,0.007105731468459851,0.003056118895511134,1726.0,0.6850706623180767,-0.04416212946158504,58,57,0.9001054563098448,False
PREDICT_original_phasef_monogenic_kurtosis_WL3_N5,-1.1598932562118829,-1.0901646703628736,-0.06972858584900932,-0.0863755370023872,1583.0,0.6974447957613807,0.042347247428917156,58,57,0.9001054563098448,False
PREDICT_original_tf_GLCMMS_ASMd3.0A2.36mean,0.0579361733467395,0.0499222311452344,0.0080139422015051,0.004929281977625183,1723.0,0.6974447957613807,-0.042347247428917045,58,57,0.9001054563098448,False
PREDICT_original_tf_GLCMMS_ASMd3.0A0.79std,0.0588144247982231,0.0526196694609732,0.006194755337249905,0.004417730276068663,1724.0,0.693310939080565,-0.042952208106473044,58,57,0.9001054563098448,False
PREDICT_original_logf_std_sigma1,0.09096724024088304,0.103213611144126,-0.012246370903242959,-0.0001254164066875202,1583.0,0.6974447957613807,0.042347247428917156,58,57,0.9001054563098448,False
PREDICT_original_tf_LBP_median_R15_P36,36.26,36.26,0.0,0.7563399879007804,1687.5,0.6829942296305296,-0.020871143375680523,58,57,0.9001054563098448,False
PREDICT_original_logf_max_sigma1,0.20407763749360974,0.2531557792425158,-0.04907814174890607,-0.004084311828008225,1581.0,0.6891861916968299,0.04355716878402904,58,57,0.9001054563098448,False
PREDICT_original_tf_GLCMMS_contrastd1.0A0.0mean,2.771737092845288,2.685898954816763,0.08583813802852491,0.05996119618055573,1723.0,0.6974447957613807,-0.042347247428917045,58,57,0.9001054563098448,False
PREDICT_original_logf_skewness_sigma5,-0.8989857392963114,-0.7380427153158042,-0.1609430239805072,0.0864626034636986,1589.0,0.7224330423676857,0.038717483363581384,58,57,0.9014309921282005,False
PREDICT_original_logf_min_sigma10,-0.8940200692415238,-0.9134623193740844,0.019442250132560623,0.032314168403563936,1722.0,0.7015876522206019,-0.04174228675136127,58,57,0.9014309921282005,False
"PREDICT_original_vf_Frangi_edge_skewness_SR(1.0, 10.0)_SS2.0",5.712775823305801,6.578976250288594,-0.8662004269827932,3.7356502155606606,1592.0,0.7350410929726909,0.0369026013309135,58,57,0.9014309921282005,False
PREDICT_original_logf_peak_position_sigma10,29.5,30.0,-0.5,-0.3938294010889294,1590.5,0.7273465198169224,0.037810042347247386,58,57,0.9014309921282005,False
PREDICT_original_logf_range_sigma1,0.4204151268303393,0.5154817980527877,-0.09506667122244838,-0.006480904489899908,1587.0,0.7140691130999575,0.03992740471869327,58,57,0.9014309921282005,False
"PREDICT_original_vf_Frangi_full_skewness_SR(1.0, 10.0)_SS2.0",5.712775823305801,6.578976250288594,-0.8662004269827932,3.7356502155606606,1592.0,0.7350410929726909,0.0369026013309135,58,57,0.9014309921282005,False
PREDICT_original_tf_GLCM_dissimilarityd3.0A2.36,1.3350475959978634,1.1931711198681112,0.14187647612975218,-0.03948257094303442,1715.0,0.7308302753873153,-0.0375075620084695,58,57,0.9014309921282005,False
PREDICT_original_tf_GLCMMS_homogeneityd1.0A1.57std,0.7046845435821281,0.6752411449435225,0.029443398638605567,0.016469740908630515,1715.0,0.7308302753873153,-0.0375075620084695,58,57,0.9014309921282005,False
PREDICT_original_tf_GLCMMS_ASMd1.0A1.57std,0.13624670182302562,0.1501338971037398,-0.013887195280714193,-0.002654009562491566,1721.0,0.7057393981372928,-0.04113732607380527,58,57,0.9014309921282005,False
PREDICT_original_tf_Gabor_range_F0.05_A1.57,0.215241704932231,0.2239077902094152,-0.00866608527718421,0.012458974170615866,1715.0,0.7308302753873153,-0.0375075620084695,58,57,0.9014309921282005,False
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A2.36std,1.335047595997863,1.1931711198681114,0.14187647612975152,-0.03734735535019418,1715.0,0.7308302753873153,-0.0375075620084695,58,57,0.9014309921282005,False
PREDICT_original_tf_GLCM_homogeneityd1.0A0.0,0.8316389262589362,0.8141781840843431,0.017460742174593147,0.014459706367515035,1719.0,0.7140691130999575,-0.03992740471869327,58,57,0.9014309921282005,False
PREDICT_original_tf_GLCMMS_correlationd1.0A1.57mean,0.7619398196226461,0.7511565121421205,0.010783307480525584,0.012016424259837066,1719.0,0.7140691130999575,-0.03992740471869327,58,57,0.9014309921282005,False
PREDICT_original_tf_GLCMMS_correlationd1.0A0.0mean,0.9013987325095754,0.901606416423637,-0.00020768391406167375,-0.016069100086464005,1591.0,0.7308302753873153,0.0375075620084695,58,57,0.9014309921282005,False
